GameID,Date,Time,White,WhiteElo,WhiteRatingDiff,Black,BlackElo,BlackRatingDiff,TotalMoves,ECO,Opening,TimeControl,Termination,Result
9198,2024.01.03,07:37:14,churov,1553,7,frenzzzzz,1589,-6,53,B06,Modern Defense,60+0,Time forfeit,1-0
9199,2024.01.03,07:36:41,dohe23,1581,10,grepovsky,1984,-10,63,A45,Indian Defense,300+0,Normal,1-0
9200,2024.01.03,07:38:21,Prabowo-Gibran02,1870,5,jaran_ngaCeng,1795,-4,67,B06,Modern Defense,180+0,Normal,1-0
9201,2024.01.03,07:39:30,armin79,1768,4,Kalendero,1647,-6,99,A45,Indian Defense,600+5,Normal,1-0
9202,2024.01.03,07:39:59,mehdigermanynew,1872,1,PitonAE,1539,-2,55,D20,"Queen's Gambit Accepted: Central Variation, Greco Variation",60+1,Normal,1-0
9203,2024.01.03,07:40:18,SusyRD,2057,-5,gourdacier1,2078,5,104,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",120+1,Normal,0-1
9204,2024.01.03,07:42:19,throndk,1561,6,Gaprinzza,1562,-6,87,A00,Van't Kruijs Opening,180+2,Normal,1-0
9205,2024.01.03,07:42:17,xxman17,1966,5,Alexander_Lipin,1915,-4,59,D01,Rapport-Jobava System,300+3,Time forfeit,1-0
9206,2024.01.03,07:42:30,leqi2013,1333,6,prajwalgowda2628,1305,-10,39,D00,Queen's Pawn Game: Accelerated London System,180+2,Normal,1-0
9207,2024.01.03,07:42:43,TheRune97,1012,40,dublez,1009,-6,87,A04,Zukertort Opening: Pirc Invitation,300+0,Normal,1-0
9208,2024.01.03,07:42:49,basilef07,2102,6,lhdez,2111,-6,45,B06,Modern Defense: Standard Line,180+2,Normal,1-0
9209,2024.01.03,07:43:12,hritik97-8,2077,-1,qaswara1977,2467,1,20,B00,Owen Defense,180+0,Normal,0-1
9210,2024.01.03,07:43:48,ugoedison,1520,-6,taku-myan,1482,12,69,B20,Sicilian Defense: Bowdler Attack,600+0,Normal,0-1
9211,2024.01.03,07:44:20,KadryNabil,1174,10,raflisaputra,1172,-41,45,C00,French Defense,300+3,Normal,1-0
9212,2024.01.03,07:44:20,prafullp,993,6,shamanno1,1002,-6,91,C49,"Four Knights Game: Spanish Variation, Double Spanish",300+3,Normal,1-0
9213,2024.01.03,07:45:22,karpov9,1110,-7,noahXgoneso,1060,24,94,B10,Caro-Kann Defense: Breyer Variation,300+0,Normal,0-1
9214,2024.01.03,07:45:25,Arsen558,1418,70,conradmeowmeow,1534,-7,83,A00,Van't Kruijs Opening,180+0,Time forfeit,1-0
9215,2024.01.03,07:46:15,Dudik_Aleksandr,2185,8,pab78,2271,-7,101,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",180+2,Normal,1-0
9216,2024.01.03,07:46:15,jimmy_24,1065,6,wrathchild0,1054,-6,35,C57,"Italian Game: Two Knights Defense, Fried Liver Attack",300+3,Normal,1-0
9217,2024.01.03,07:46:20,s_shamarin,2146,-5,heriderratic,2189,5,72,A43,Benoni Defense: Old Benoni,300+3,Normal,0-1
9218,2024.01.03,07:46:48,lllco2lll,1426,5,emmasegun,1396,-5,47,C34,King's Gambit Accepted: King's Knight's Gambit,120+1,Normal,1-0
9219,2024.01.03,07:47:01,claudiu_youtube,2113,2,Edlizzy,2233,-2,134,B32,Sicilian Defense: Löwenthal Variation,60+0,Normal,1/2-1/2
9220,2024.01.03,07:47:24,epsilonought111,2153,6,maagtablet,2160,-6,63,C67,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",300+0,Normal,1-0
9221,2024.01.03,07:47:32,Samsung777,1513,-4,revilzero,1636,4,56,B10,Caro-Kann Defense,300+0,Normal,0-1
9222,2024.01.03,07:48:08,HDWald,2167,-7,dogisdog,2115,7,114,A21,"English Opening: King's English Variation, Reversed Sicilian",300+0,Time forfeit,0-1
9223,2024.01.03,07:48:26,dmw94087,1228,6,antique_aabhushan,1226,-6,67,D00,Queen's Pawn Game: Accelerated London System,300+0,Time forfeit,1-0
9224,2024.01.03,07:48:47,x8magic,1774,6,Ecoba,1789,-6,97,A40,Horwitz Defense,180+0,Time forfeit,1-0
9225,2024.01.03,07:50:20,rscr,1128,6,fai9al_98,1104,-5,51,C65,Ruy Lopez: Berlin Defense,180+2,Normal,1-0
9226,2024.01.03,07:52:27,Kiyan-Nozari2009,2158,24,kustarnik,2155,-5,67,C44,Scotch Game: Lolli Variation,180+0,Normal,1-0
9227,2024.01.03,07:52:31,bilaldixon,954,-7,fernanen1,839,8,84,C42,Russian Game,600+0,Normal,0-1
9228,2024.01.03,07:53:01,kvivi,1191,-20,KPbICA228,1120,7,64,D00,Queen's Pawn Game,600+5,Normal,0-1
9229,2024.01.03,07:53:33,Vastorix,1224,5,maharshiw,1189,-5,23,C50,Italian Game: Paris Defense,300+0,Normal,1-0
9230,2024.01.03,07:54:22,IiiRrrAaan,1326,-4,Rithmitha123,1381,65,74,A40,Horwitz Defense,15+0,Normal,0-1
9231,2024.01.03,07:54:37,Afghan-Kabul,1640,5,playmfker,1573,-4,73,A40,Horwitz Defense,180+2,Time forfeit,1-0
9232,2024.01.03,07:55:45,gtnz34,1636,-6,panizW,1602,6,36,B20,Sicilian Defense,300+3,Normal,0-1
9233,2024.01.03,07:57:05,yeshoddha,1500,234,Jikop,1494,-3,43,B00,Owen Defense,600+0,Normal,1-0
9234,2024.01.03,07:57:43,Jakesin,2192,-6,Martinchessci,2146,7,66,B20,Sicilian Defense,60+0,Normal,0-1
9235,2024.01.03,07:58:27,Neverhood,2718,8,banknotehouse,2815,-9,115,D00,Queen's Pawn Game: Accelerated London System,180+0,Normal,1-0
9236,2024.01.03,07:58:31,fai_izio,854,7,LiamO111,931,-7,15,C47,Four Knights Game,300+3,Normal,1-0
9237,2024.01.03,07:58:46,mrn122,1827,85,Jo1Ken,1857,-5,57,A01,Nimzo-Larsen Attack,180+0,Normal,1-0
9238,2024.01.03,07:59:22,OlegVolyanik1969,1938,-5,IIaIIa,2040,4,92,D02,Queen's Pawn Game: London System,300+3,Time forfeit,0-1
9239,2024.01.03,08:00:00,Matvey78,1716,-1,Amrullahm,2225,0,74,C46,Three Knights Opening,600+0,Normal,0-1
9240,2024.01.03,08:00:06,MatosHebert,1181,-5,rocky50,1208,5,78,B01,Scandinavian Defense,60+0,Time forfeit,0-1
9241,2024.01.03,08:00:43,coc0s,1822,-6,Dr_B,1797,6,54,B40,Sicilian Defense: French Variation,180+0,Time forfeit,0-1
9242,2024.01.03,08:00:56,Zarazabas,1491,4,akshayagnoor,1413,-5,79,C50,Italian Game: Paris Defense,120+1,Normal,1-0
9243,2024.01.03,08:01:04,ReaLunLIMMIted,1623,7,leg40,1641,-6,61,B27,Sicilian Defense: Hyperaccelerated Dragon,300+3,Normal,1-0
9244,2024.01.03,08:01:02,san-sab_565,1316,20,Kiouw,1711,-18,49,E60,"King's Indian Defense: Normal Variation, King's Knight Variation",0+180,Normal,1-0
9245,2024.01.03,08:02:50,Fussel2801,1988,9,Endgameknowledge,2226,-20,149,D37,Queen's Gambit Declined: Three Knights Variation,300+2,Normal,1-0
9246,2024.01.03,08:02:46,StvnKPCC,1908,-10,Kakabos,1554,10,55,C41,Philidor Defense: Exchange Variation,180+0,Normal,0-1
9247,2024.01.03,08:03:17,Edva-Edva33,2140,7,Murzik32,2226,-7,87,B00,Pirc Defense,300+0,Time forfeit,1-0
9248,2024.01.03,08:03:36,Wylder,1159,8,Denis-190,1234,-7,41,C47,Four Knights Game: Italian Variation,600+0,Normal,1-0
9249,2024.01.03,08:03:45,Caracses,2146,-5,magalingnahenyo,2172,5,60,D03,Queen's Pawn Game: Torre Attack,600+0,Normal,0-1
9250,2024.01.03,08:03:56,GORECMX13,1995,6,darwin187112,2059,-7,53,C23,Bishop's Opening: Calabrese Countergambit,600+0,Normal,1-0
9251,2024.01.03,08:04:43,Omar0109931,1552,50,chess812,1573,-6,69,B20,Sicilian Defense: Bowdler Attack,600+0,Normal,1-0
9252,2024.01.03,08:05:58,DavitDavtyan,2551,7,Boris_Markoja,2666,-8,33,D10,Slav Defense: Exchange Variation,180+0,Normal,1-0
9253,2024.01.03,08:06:40,tyrass,2000,-7,shambhunathsonwani,1918,7,22,C13,"French Defense: Alekhine-Chatard Attack, Breyer Variation",180+2,Time forfeit,0-1
9254,2024.01.03,08:06:56,igortihov,1815,-4,amchamp2000,1962,3,82,D60,Queen's Gambit Declined: Orthodox Defense,180+0,Time forfeit,0-1
9255,2024.01.03,08:07:09,CoNT_roLLer,1967,6,Os6oora_7,2008,-11,105,B15,Caro-Kann Defense: Main Line,600+0,Normal,1-0
9256,2024.01.03,08:07:22,soroush2012,1914,-6,Elmaldi,1897,6,44,A40,Horwitz Defense,120+1,Normal,0-1
9257,2024.01.03,08:07:36,danimellow,1771,-6,padito,1748,6,48,D00,Queen's Pawn Game: Levitsky Attack,60+0,Time forfeit,0-1
9258,2024.01.03,08:08:59,NfsyAfoozNow,2031,-7,tyskie13,2070,5,66,A04,Zukertort Opening: Slav Invitation,300+0,Normal,0-1
9259,2024.01.03,08:09:16,ManthanBokde,1245,19,yolcuert,1269,-6,57,A40,Horwitz Defense,600+0,Normal,1-0
9260,2024.01.03,08:09:30,marifin,2190,0,karpaty_lviv,2190,0,69,A22,"English Opening: King's English Variation, Two Knights Variation",600+5,Normal,1/2-1/2
9261,2024.01.03,08:10:06,lucamitt,1272,0,VicenteRossini,1313,-1,127,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",300+3,Normal,1/2-1/2
9262,2024.01.03,08:10:38,yadumaleur,1663,-6,vinu465,1640,7,44,A01,Nimzo-Larsen Attack: Indian Variation,120+1,Normal,0-1
9263,2024.01.03,08:10:53,CanJaxceiro,2180,-6,Jom1Jom,2188,5,78,D03,"Queen's Pawn Game: Torre Attack, Gossip Variation",300+0,Normal,0-1
9264,2024.01.03,08:11:24,sothis77,1194,8,XXX12345,1156,-5,65,C62,Ruy Lopez: Steinitz Defense,300+0,Time forfeit,1-0
9265,2024.01.03,08:11:37,Lerv123,1679,12,rimamerin,1655,-5,45,B28,Sicilian Defense: O'Kelly Variation,300+5,Time forfeit,1-0
9266,2024.01.03,08:11:58,MelioX3,920,-48,Tanandil,1084,3,38,D06,Queen's Gambit Declined: Marshall Defense,600+0,Normal,0-1
9267,2024.01.03,08:12:21,ricky073,1658,-9,eel325458,1602,72,48,B21,Sicilian Defense: Smith-Morra Gambit,600+5,Normal,0-1
9268,2024.01.03,08:13:46,skardo,1962,-7,tvarshney,1908,7,64,A45,Indian Defense,120+1,Time forfeit,0-1
9269,2024.01.03,08:13:52,MarsMines,1426,-7,zachirped,1505,5,74,D01,Rapport-Jobava System,600+0,Time forfeit,0-1
9270,2024.01.03,08:14:36,Chess2Max,2155,-8,RainTrec,2158,6,54,B56,Sicilian Defense: Classical Variation,300+3,Normal,0-1
9271,2024.01.03,08:15:28,master8866,1683,5,Sadox13,1634,-48,91,B00,St. George Defense,300+0,Normal,1-0
9272,2024.01.03,08:15:40,olfae_59,1689,6,milan707,1678,-6,37,B30,Sicilian Defense: Old Sicilian,1800+0,Normal,1-0
9273,2024.01.03,08:16:18,Monem_Mahfouz,1705,6,pdnchess,1750,-6,54,B93,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",600+5,Normal,1-0
9274,2024.01.03,08:16:47,toli89,1284,41,momoalaya77,1281,-5,49,A40,Queen's Pawn Game,600+0,Normal,1-0
9275,2024.01.03,08:17:27,minniri,1782,5,rafeekh786,1737,-5,41,D06,Queen's Gambit Declined: Marshall Defense,600+5,Normal,1-0
9276,2024.01.03,08:18:25,spectraline,2559,-5,Podrebo,2589,6,126,B23,Sicilian Defense: Closed,180+0,Normal,0-1
9277,2024.01.03,08:18:28,Omar-Bassiuony,1261,-15,anteickch,1267,5,100,B12,Caro-Kann Defense: Advance Variation,120+1,Time forfeit,0-1
9278,2024.01.03,08:18:34,Txilinho,885,-3,Chris_Dixon,1026,4,42,C51,"Italian Game: Evans Gambit, Harding Variation",120+1,Time forfeit,0-1
9279,2024.01.03,08:18:58,reykie,1409,-14,egorikru,1345,6,98,B15,Caro-Kann Defense: Campomanes Attack,600+5,Normal,0-1
9280,2024.01.03,08:19:02,harsh707s,1705,41,cagrikaradeniz91,1707,-29,69,C44,Ponziani Opening,1800+0,Normal,1-0
9281,2024.01.03,08:19:20,sycamoresnake,1232,5,konan-99,1169,-5,21,B01,Scandinavian Defense,600+0,Time forfeit,1-0
9282,2024.01.03,08:20:27,dayakaran,1437,20,Abduazim_Okhunov,1455,-15,63,B50,Sicilian Defense: Modern Variations,600+0,Normal,1-0
9283,2024.01.03,08:20:39,skykable,1199,-4,blitzband,1241,97,84,A40,Horwitz Defense,180+2,Normal,0-1
9284,2024.01.03,08:20:50,Shoxrux_Yusupov,890,385,c_abhinav,1175,-11,39,C44,Scotch Game,1500+0,Normal,1-0
9285,2024.01.03,08:21:35,Nhatnguyen1368,1954,0,Ypsingh94,1498,-1,155,C46,Three Knights Opening,600+0,Normal,1-0
9286,2024.01.03,08:21:43,Chinmi_peremuk,2297,-7,xeroxx,2237,6,140,B06,Modern Defense: Three Pawns Attack,180+0,Time forfeit,0-1
9287,2024.01.03,08:22:16,two2fish,1317,-5,halimakca,1333,6,50,A10,English Opening: Great Snake Variation,180+2,Normal,0-1
9288,2024.01.03,08:22:15,blindfoldaccount1,2141,-7,barnutty,2167,5,64,B22,Sicilian Defense: Alapin Variation,180+0,Normal,0-1
9289,2024.01.03,08:22:21,Roblicki,1017,6,Mhdsadik,1009,-6,59,B06,Modern Defense,300+0,Normal,1-0
9290,2024.01.03,08:22:21,Mehmet-57,1614,4,RaviRaj_2,1531,-5,45,C20,King's Pawn Game: Leonardis Variation,60+0,Normal,1-0
9291,2024.01.03,08:22:39,krushnakadam,953,-5,Loken4,983,15,92,A00,Van Geet Opening,300+0,Time forfeit,0-1
9292,2024.01.03,08:22:51,kevingray510,1097,-7,Nicoloro,1033,7,42,D20,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",300+3,Normal,0-1
9293,2024.01.03,08:24:20,yasinmasin,960,24,filipisto,999,-6,71,A40,Englund Gambit Complex: Hartlaub-Charlick Gambit,180+0,Time forfeit,1-0
9294,2024.01.03,08:24:36,romboul,1408,0,LuLa1983,1387,1,48,C77,"Ruy Lopez: Morphy Defense, Tarrasch Variation",600+0,Normal,1/2-1/2
9295,2024.01.03,08:24:41,arhimed54,2088,4,thanos_aveng,1955,-4,61,C45,"Scotch Game: Classical Variation, Intermezzo Variation",600+5,Time forfeit,1-0
9296,2024.01.03,08:24:52,Maxxxso,1277,-6,mayankladdha,1254,16,48,C62,Ruy Lopez: Steinitz Defense,300+3,Normal,0-1
9297,2024.01.03,08:24:57,malabananv,1937,6,pandiony,1961,-6,77,A45,Indian Defense,600+5,Normal,1-0
9298,2024.01.03,08:24:55,jpogacha,1716,6,ITMonster,1708,-6,89,B01,Scandinavian Defense: Richter Variation,180+2,Time forfeit,1-0
9299,2024.01.03,08:25:05,Petr22222,1621,6,trexwz20231231,1609,-23,35,C70,"Ruy Lopez: Morphy Defense, Graz Variation",900+10,Normal,1-0
9300,2024.01.03,08:25:31,theLions09,1773,8,zatur,1779,-6,53,C50,Italian Game: Blackburne-Kostić Gambit,600+0,Normal,1-0
9301,2024.01.03,08:25:30,random_noob64,1748,-4,dimaclopin,1814,5,72,B50,"Sicilian Defense: Delayed Alapin Variation, with d6",300+3,Normal,0-1
9302,2024.01.03,08:25:32,Argaluno,2525,4,Komodosky,2413,-4,93,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,180+0,Normal,1-0
9303,2024.01.03,08:25:52,Huurck,1234,-5,dal_dal_usholl,1271,8,74,A10,English Opening: Great Snake Variation,300+3,Time forfeit,0-1
9304,2024.01.03,08:25:56,HolyBus007,1698,-12,LuTal,1663,16,49,E20,Nimzo-Indian Defense,180+2,Normal,0-1
9305,2024.01.03,08:27:15,A2007B1,1394,20,Maissy,1439,-7,63,B01,Scandinavian Defense: Modern Variation,180+2,Time forfeit,1-0
9306,2024.01.03,08:28:02,Oldpall,970,-4,Niveua,1061,4,70,C57,"Italian Game: Two Knights Defense, Knight Attack",300+0,Normal,0-1
9307,2024.01.03,08:28:06,Bob_Johnson,1816,6,Korol23,1867,-7,45,A00,Polish Opening,180+0,Normal,1-0
9308,2024.01.03,08:28:26,CHESS8677529,1909,44,sndssndn,1910,-5,45,B00,Pirc Defense: Roscher Gambit,60+0,Normal,1-0
9309,2024.01.03,08:28:29,Abdalazez_ebrahim,1925,6,laksan1,1923,-6,75,B32,Sicilian Defense: Löwenthal Variation,600+0,Normal,1-0
9310,2024.01.03,08:29:29,His-Eminence,1707,20,Clausiku,1739,-6,73,C00,French Defense: Queen's Knight,300+3,Time forfeit,1-0
9311,2024.01.03,08:31:42,esteniosobral,2100,-6,darwin187112,2050,6,48,C40,Latvian Gambit Accepted: Bilguer Variation,600+0,Normal,0-1
9312,2024.01.03,08:31:59,mrorango02,1741,6,Schnuks,1766,-6,105,B22,Sicilian Defense: Alapin Variation,180+0,Time forfeit,1-0
9313,2024.01.03,08:32:50,krisna123,2058,-5,Mago-dark,2069,6,46,C42,Russian Game: Three Knights Game,180+0,Normal,0-1
9314,2024.01.03,08:33:08,CatDevURandom,1504,-5,eee1113333,1528,16,86,C42,Russian Game: Nimzowitsch Attack,180+2,Normal,0-1
9315,2024.01.03,08:35:06,Pavelsrv,1199,7,Rashica31,1170,-6,45,C41,Philidor Defense,900+10,Normal,1-0
9316,2024.01.03,08:35:11,Belegeduk,2046,-6,yasha43,2058,6,94,B00,Pirc Defense,60+0,Normal,0-1
9317,2024.01.03,08:35:45,Garde7,1927,5,Furious_pawn,1923,-5,39,B20,Sicilian Defense: Bowdler Attack,180+0,Normal,1-0
9318,2024.01.03,08:35:49,AleksandrKus,1470,,thekillerdoggy,1500,,76,A84,Dutch Defense,60+0,Time forfeit,0-1
9319,2024.01.03,08:35:59,pemulaOPG,2101,4,vladleo54,2010,-5,91,B22,Sicilian Defense: Alapin Variation,0+2,Time forfeit,1-0
9320,2024.01.03,08:36:32,henudaB2014,780,-16,rajlgo,778,15,48,B02,Alekhine Defense: Krejcik Variation,600+5,Time forfeit,0-1
9321,2024.01.03,08:36:44,gtomov,2460,4,melksham,2366,-4,39,B40,"Sicilian Defense: Delayed Alapin Variation, with e6",180+2,Normal,1-0
9322,2024.01.03,08:36:49,choper1234,1955,5,Desire10,1930,-6,113,C45,Scotch Game,600+5,Normal,1-0
9323,2024.01.03,08:37:04,A13ks3yZ,1703,5,jjk333,1651,-5,35,C20,King's Pawn Game: MacLeod Attack,1020+0,Normal,1-0
9324,2024.01.03,08:38:10,CedChess79,1014,-5,neptune58,1061,5,98,C01,French Defense: Exchange Variation,120+1,Normal,0-1
9325,2024.01.03,08:38:34,mentalist30690,1998,7,Shutov78,1901,-4,43,B01,"Scandinavian Defense: Main Line, Mieses Variation",600+0,Normal,1-0
9326,2024.01.03,08:38:56,xi7,1769,6,happygoatplayer,1809,-7,75,A48,East Indian Defense,1800+0,Normal,1-0
9327,2024.01.03,08:39:07,LiouvilleOperator,1284,27,Carristaw,1281,-6,77,C00,French Defense: Normal Variation,300+3,Normal,1-0
9328,2024.01.03,08:39:15,sir_razinkov,1514,7,hajanirintsoa,1556,-6,37,C34,King's Gambit Accepted: Schallopp Defense,300+0,Normal,1-0
9329,2024.01.03,08:39:36,Romu11,1194,11,Ziad_Tahoun,1214,-8,53,B15,Caro-Kann Defense,600+0,Normal,1-0
9330,2024.01.03,08:40:06,Tanja-09,1683,4,nonfact,1605,-14,31,A21,"English Opening: King's English Variation, Reversed Sicilian",600+0,Normal,1-0
9331,2024.01.03,08:40:06,Paquetit0,2073,40,black_piece,2162,-13,81,B52,"Sicilian Defense: Moscow Variation, Main Line",600+0,Normal,1-0
9332,2024.01.03,08:40:16,Cvete999,1488,-4,makhsim,1570,20,39,D00,Queen's Pawn Game,1800+0,Normal,0-1
9333,2024.01.03,08:40:25,uyybire,1952,-6,pleshivchik,1895,7,68,C63,"Ruy Lopez: Schliemann Defense, Jaenisch Gambit Accepted",600+0,Normal,0-1
9334,2024.01.03,08:41:01,aristo4855,1382,4,slander8976,1277,-53,47,A80,Dutch Defense,900+10,Normal,1-0
9335,2024.01.03,08:41:22,PutraWajo1978,2105,-5,mammut77,2112,6,80,A00,Kádas Opening,180+0,Time forfeit,0-1
9336,2024.01.03,08:42:21,MACCQS,1620,7,Brasetvik,1655,-7,47,C46,Three Knights Opening,180+2,Normal,1-0
9337,2024.01.03,08:42:25,altair2007,1686,146,Kirill_Laletin_2000,1737,-5,73,D32,Tarrasch Defense: Symmetrical Variation,180+2,Normal,1-0
9338,2024.01.03,08:42:34,Zubkov_Kirill,1500,237,almimila,1498,-4,75,C10,Sicilian Defense: Marshall Gambit,600+5,Normal,1-0
9339,2024.01.03,08:42:55,youncore,2141,7,Green_Highlander,2180,-7,75,B94,Sicilian Defense: Najdorf Variation,180+2,Time forfeit,1-0
9340,2024.01.03,08:42:59,Fingall,1491,9,jazAD,1453,-5,46,C00,French Defense: Knight Variation,300+0,Normal,1-0
9341,2024.01.03,08:43:20,radvinnoorani,1428,-11,Go23n,1289,68,54,B01,Scandinavian Defense,1800+0,Time forfeit,0-1
9342,2024.01.03,08:44:39,CarlosHBSilva82,1800,-7,flavio73,1750,7,68,E48,"Nimzo-Indian Defense: Normal Variation, Bishop Attack, Classical Defense",180+2,Normal,0-1
9343,2024.01.03,08:46:07,NoobNoobi,2270,-5,chiaroscuro,2295,7,70,D78,"Neo-Grünfeld Defense: Classical Variation, Original Defense",180+0,Normal,0-1
9344,2024.01.03,08:46:21,issa3kun,2597,,PetrovBluff,1208,,8,B15,Caro-Kann Defense,180+0,Normal,1-0
9345,2024.01.03,08:46:25,Makar1955,1692,-6,donkorado,1684,7,70,B30,Sicilian Defense: Old Sicilian,300+3,Time forfeit,0-1
9346,2024.01.03,08:46:32,antzu,1919,-5,omarsh4wky,1958,13,64,B13,Caro-Kann Defense: Exchange Variation,180+2,Time forfeit,0-1
9347,2024.01.03,08:46:53,mrakaboy,857,-6,Rubicante4,829,6,46,B21,Sicilian Defense: McDonnell Attack,300+3,Normal,0-1
9348,2024.01.03,08:47:00,sergsK,1490,42,H1352,1544,-6,65,C00,Rat Defense: Small Center Defense,180+0,Normal,1-0
9349,2024.01.03,08:47:25,antiblic,1596,6,yasin274,1611,-6,25,C40,King's Pawn Game: Busch-Gass Gambit,180+0,Time forfeit,1-0
9350,2024.01.03,08:47:32,xpanitel,1766,8,haddok63000,1774,-6,53,B07,Pirc Defense,900+10,Normal,1-0
9351,2024.01.03,08:48:16,vremis,2208,4,Struuut,2118,-4,89,C44,Scotch Game: Göring Gambit,180+0,Normal,1-0
9352,2024.01.03,08:49:11,Maksim01997,1448,7,Master_Ugwe,1494,-7,113,B22,Sicilian Defense: Alapin Variation,600+0,Normal,1-0
9353,2024.01.03,08:49:57,zanzibarpm,1823,-3,garik_2006,2047,5,84,A00,Van Geet Opening,120+0,Normal,0-1
9354,2024.01.03,08:50:13,SofyaSidenko,1500,-221,senkin_2015,1526,10,36,C20,Portuguese Opening,600+5,Normal,0-1
9355,2024.01.03,08:50:30,amchamp2000,1969,4,Berdakh22,1884,-4,65,A40,Englund Gambit Complex: Hartlaub-Charlick Gambit,180+0,Normal,1-0
9356,2024.01.03,08:50:39,MAHOAGA1453,1437,6,Badr_1553,1433,-6,63,B10,Caro-Kann Defense,180+2,Normal,1-0
9357,2024.01.03,08:50:57,ChrisKrause1,1285,-6,darkwanderer22,1265,6,46,C40,King's Pawn Game: Busch-Gass Gambit,60+0,Normal,0-1
9358,2024.01.03,08:51:48,Mrmaster2025,2464,-8,adask10,2622,4,138,A05,Zukertort Opening,180+0,Time forfeit,0-1
9359,2024.01.03,08:51:49,EL_ZOZ111,1601,74,gvon,1640,-5,49,A01,Nimzo-Larsen Attack,600+0,Normal,1-0
9360,2024.01.03,08:51:53,jaroslaw907,1416,7,spark2021,1467,-6,75,B50,Sicilian Defense,120+1,Normal,1-0
9361,2024.01.03,08:51:58,Sarujan_003,1500,-297,bjkkartal07,1421,3,34,C00,French Defense,600+5,Time forfeit,0-1
9362,2024.01.03,08:52:24,teite,1927,-5,Dr-KhaledOsama,1980,5,68,B02,Alekhine Defense: Brooklyn Variation,180+2,Time forfeit,0-1
9363,2024.01.03,08:53:54,Comparsista,1830,6,espinozaa,1807,-6,57,A40,Queen's Pawn Game,120+1,Normal,1-0
9364,2024.01.03,08:54:04,millesabords,1884,-5,SchachBeimEssen,1931,5,36,A00,Van't Kruijs Opening,180+2,Normal,0-1
9365,2024.01.03,08:54:28,KlinZha,884,-5,Koppany01,912,5,96,D01,Rapport-Jobava System,300+0,Normal,0-1
9366,2024.01.03,08:54:32,CookieBrawler24_7,1435,24,Dimas1985,1542,-7,42,A13,English Opening: Agincourt Defense,600+0,Normal,1-0
9367,2024.01.03,08:55:03,oliveira12345,1452,-6,Konoha1,1457,6,62,C65,Ruy Lopez: Berlin Defense,120+1,Time forfeit,0-1
9368,2024.01.03,08:55:13,imageprocessor,1435,-6,MatasM17,1444,18,54,D30,Queen's Gambit Declined,180+0,Normal,0-1
9369,2024.01.03,08:55:32,EvelioS2022,1996,-6,trashcan,2001,5,76,D01,Richter-Veresov Attack,60+0,Time forfeit,0-1
9370,2024.01.03,08:55:54,Murujake,1990,-6,aronmayerling,1967,6,38,B15,Caro-Kann Defense: Tartakower Variation,180+2,Normal,0-1
9371,2024.01.03,08:56:25,Ramadan_134982020,1285,-5,siuu97,1317,23,72,C26,Vienna Game: Stanley Variation,180+0,Time forfeit,0-1
9372,2024.01.03,08:56:40,Cheenies,1137,0,Kran992,1139,0,110,C45,Scotch Game,600+0,Normal,1/2-1/2
9373,2024.01.03,08:56:41,EglencesineOynuyorum,1985,7,konfucii,1979,-6,51,A40,English Defense,180+2,Normal,1-0
9374,2024.01.03,08:58:15,Musyyyy,1376,162,shayanoronaldo,1367,-4,35,C64,Ruy Lopez: Classical Variation,180+2,Normal,1-0
9375,2024.01.03,08:58:21,KiselevAP,2093,-6,Fear2004,2030,6,116,C00,French Defense: Knight Variation,180+0,Time forfeit,0-1
9376,2024.01.03,08:58:47,Mezdugorodnyimaster,2324,10,Molsky,2379,-7,91,A45,Indian Defense,600+0,Normal,1-0
9377,2024.01.03,08:58:51,Konstantin7676,2231,-6,Resor,2187,15,70,C01,French Defense: Exchange Variation,600+0,Time forfeit,0-1
9378,2024.01.03,08:59:16,chocori,1452,9,Iaco,1681,-11,33,B23,Sicilian Defense: Grand Prix Attack,600+2,Normal,1-0
9379,2024.01.03,08:59:26,coolbabychess,2163,-6,Dartagnan2021,2145,6,58,D55,"Queen's Gambit Declined: Neo-Orthodox Variation, Main Line",180+0,Time forfeit,0-1
9380,2024.01.03,08:59:43,Tabaki2023,2439,-2,asterixtwin,2320,2,118,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",600+5,Normal,1/2-1/2
9381,2024.01.03,09:00:14,Galou05,1272,6,Smoky-708,1302,-6,63,C44,Scotch Game,600+5,Time forfeit,1-0
9382,2024.01.03,09:00:34,MaxieEN,2203,-5,Pawn_Sacrifice666,2257,5,112,A45,Indian Defense,600+0,Normal,0-1
9383,2024.01.03,09:00:40,tolichach,2173,0,RomanOks10072014,2166,0,134,C05,"French Defense: Tarrasch Variation, Closed Variation",300+0,Normal,1/2-1/2
9384,2024.01.03,09:00:40,Kimikaza,1601,-6,Shake234,1565,6,54,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",300+3,Normal,0-1
